anomaly_id,date,sku_id,anomaly_type,demand_anomaly_score,shrinkage_score,severity,reason,status
AN00000001,2021-01-29,10060,normal,0.395,0.0,0.157,No material exception detected.,closed
AN00000002,2021-01-29,10091,normal,0.864,0.0,0.306,No material exception detected.,closed
AN00000003,2021-01-29,10092,normal,0.673,0.0,0.264,No material exception detected.,closed
AN00000004,2021-01-29,10093,normal,0.0,0.0,0.082,No material exception detected.,closed
AN00000005,2021-01-29,10094,normal,0.257,0.0,0.115,No material exception detected.,closed
AN00000006,2021-01-29,10095,normal,0.0,0.004,0.036,No material exception detected.,closed
AN00000007,2021-01-29,10100,normal,1.0,0.0,0.362,No material exception detected.,closed
AN00000008,2021-01-29,35035,normal,0.116,0.0,0.053,No material exception detected.,closed
AN00000009,2021-01-29,35192,normal,0.875,0.0,0.315,No material exception detected.,closed
AN00000010,2021-01-29,45470,normal,0.474,0.0,0.186,No material exception detected.,closed
AN00000011,2021-01-29,45657,normal,0.553,0.0,0.227,No material exception detected.,closed
AN00000012,2021-01-29,45678,normal,0.769,0.0,0.294,No material exception detected.,closed
AN00000013,2021-01-29,46019,normal,0.0,0.005,0.012,No material exception detected.,closed
AN00000014,2021-01-29,55845,normal,0.357,0.0,0.153,No material exception detected.,closed
AN00000015,2021-01-29,65044,normal,0.255,0.0,0.112,No material exception detected.,closed
AN00000016,2021-01-29,70133,normal,0.875,0.0,0.316,No material exception detected.,closed
AN00000017,2021-01-29,90130,normal,0.425,0.0,0.169,No material exception detected.,closed
AN00000018,2021-01-29,90143,normal,0.0,0.0,0.035,No material exception detected.,closed
AN00000019,2021-01-29,A10026,restocking_delay,0.206,0.006,0.088,Expected restock may not have reached shelf.,closed
AN00000020,2021-01-29,A30035,normal,0.314,0.0,0.114,No material exception detected.,closed
AN00000021,2021-01-30,10060,normal,0.711,0.0,0.255,No material exception detected.,closed
AN00000022,2021-01-30,10091,normal,0.705,0.0,0.252,No material exception detected.,closed
AN00000023,2021-01-30,10092,normal,1.0,0.0,0.361,No material exception detected.,closed
AN00000024,2021-01-30,10093,normal,0.0,0.002,0.034,No material exception detected.,closed
AN00000025,2021-01-30,10094,normal,0.189,0.0,0.098,No material exception detected.,closed
AN00000026,2021-01-30,10095,normal,0.0,0.0,0.01,No material exception detected.,closed
AN00000027,2021-01-30,10100,normal,1.0,0.0,0.356,No material exception detected.,closed
AN00000028,2021-01-30,35035,normal,0.256,0.005,0.095,No material exception detected.,closed
AN00000029,2021-01-30,35192,normal,0.775,0.0,0.276,No material exception detected.,closed
AN00000030,2021-01-30,45470,normal,0.509,0.0,0.19,No material exception detected.,closed
AN00000031,2021-01-30,45657,normal,0.474,0.0,0.191,No material exception detected.,closed
AN00000032,2021-01-30,45678,normal,1.0,0.0,0.366,No material exception detected.,closed
AN00000033,2021-01-30,46019,normal,0.0,0.0,0.018,No material exception detected.,closed
AN00000034,2021-01-30,55845,cv_error,0.571,0.0,0.23,Low CV confidence may explain stock mismatch.,closed
AN00000035,2021-01-30,65044,normal,0.234,0.0,0.096,No material exception detected.,closed
AN00000036,2021-01-30,70133,normal,0.786,0.0,0.291,No material exception detected.,closed
AN00000037,2021-01-30,90130,normal,0.4,0.0,0.147,No material exception detected.,closed
AN00000038,2021-01-30,90143,normal,0.0,0.0,0.003,No material exception detected.,closed
AN00000039,2021-01-30,A10026,normal,0.412,0.0,0.156,No material exception detected.,closed
AN00000040,2021-01-30,A30035,normal,0.257,0.0,0.095,No material exception detected.,closed
AN00000041,2021-01-31,10060,normal,0.474,0.0,0.185,No material exception detected.,closed
AN00000042,2021-01-31,10091,normal,0.318,0.0,0.117,No material exception detected.,closed
AN00000043,2021-01-31,10092,normal,0.295,0.0,0.128,No material exception detected.,closed
AN00000044,2021-01-31,10093,normal,0.0,0.0,0.018,No material exception detected.,closed
AN00000045,2021-01-31,10094,planogram_mismatch,0.135,0.003,0.077,Detected SKU may not match assigned slot.,closed
AN00000046,2021-01-31,10095,normal,0.0,0.0,0.008,No material exception detected.,closed
AN00000047,2021-01-31,10100,normal,1.0,0.0,0.384,No material exception detected.,closed
AN00000048,2021-01-31,35035,normal,0.256,0.0,0.102,No material exception detected.,closed
AN00000049,2021-01-31,35192,normal,0.575,0.009,0.222,No material exception detected.,closed
AN00000050,2021-01-31,45470,normal,0.211,0.0,0.094,No material exception detected.,closed
AN00000051,2021-01-31,45657,normal,0.395,0.0,0.152,No material exception detected.,closed
AN00000052,2021-01-31,45678,normal,1.0,0.034,0.431,No material exception detected.,closed
AN00000053,2021-01-31,46019,normal,0.0,0.005,0.032,No material exception detected.,closed
AN00000054,2021-01-31,55845,restocking_delay,0.357,0.005,0.144,Expected restock may not have reached shelf.,closed
AN00000055,2021-01-31,65044,normal,0.298,0.005,0.137,No material exception detected.,closed
AN00000056,2021-01-31,70133,normal,0.429,0.0,0.184,No material exception detected.,closed
AN00000057,2021-01-31,90130,normal,0.2,0.006,0.093,No material exception detected.,closed
AN00000058,2021-01-31,90143,normal,0.364,0.0,0.161,No material exception detected.,closed
AN00000059,2021-01-31,A10026,normal,0.235,0.007,0.16,No material exception detected.,closed
AN00000060,2021-01-31,A30035,normal,0.2,0.0,0.09,No material exception detected.,closed
AN00000061,2021-02-01,10060,cv_error,0.763,0.0,0.36,Low CV confidence may explain stock mismatch.,closed
AN00000062,2021-02-01,10091,normal,0.659,0.0,0.246,No material exception detected.,closed
AN00000063,2021-02-01,10092,normal,0.295,0.002,0.128,No material exception detected.,closed
AN00000064,2021-02-01,10093,normal,0.0,0.0,0.024,No material exception detected.,closed
AN00000065,2021-02-01,10094,normal,0.108,0.0,0.054,No material exception detected.,closed
AN00000066,2021-02-01,10095,normal,0.0,0.0,0.018,No material exception detected.,closed
AN00000067,2021-02-01,10100,normal,1.0,0.0,0.377,No material exception detected.,closed
AN00000068,2021-02-01,35035,normal,0.349,0.0,0.126,No material exception detected.,closed
AN00000069,2021-02-01,35192,normal,0.3,0.0,0.136,No material exception detected.,closed
AN00000070,2021-02-01,45470,normal,0.14,0.0,0.075,No material exception detected.,closed
AN00000071,2021-02-01,45657,normal,0.303,0.0,0.135,No material exception detected.,closed
AN00000072,2021-02-01,45678,demand_spike,1.0,0.0,0.372,Sales exceeded recent baseline.,closed
AN00000073,2021-02-01,46019,normal,0.0,0.0,0.03,No material exception detected.,closed
AN00000074,2021-02-01,55845,normal,0.143,0.0,0.076,No material exception detected.,closed
AN00000075,2021-02-01,65044,normal,0.128,0.0,0.062,No material exception detected.,closed
AN00000076,2021-02-01,70133,normal,0.464,0.007,0.193,No material exception detected.,closed
AN00000077,2021-02-01,90130,normal,0.325,0.0,0.14,No material exception detected.,closed
AN00000078,2021-02-01,90143,normal,0.318,0.0,0.128,No material exception detected.,closed
AN00000079,2021-02-01,A10026,normal,0.147,0.007,0.086,No material exception detected.,closed
AN00000080,2021-02-01,A30035,normal,0.271,0.0,0.11,No material exception detected.,closed
AN00000081,2021-02-02,10060,normal,0.605,0.0,0.229,No material exception detected.,closed
AN00000082,2021-02-02,10091,normal,0.545,0.0,0.225,No material exception detected.,closed
AN00000083,2021-02-02,10092,normal,0.39,0.0,0.141,No material exception detected.,closed
AN00000084,2021-02-02,10093,normal,0.0,0.0,0.03,No material exception detected.,closed
AN00000085,2021-02-02,10094,cv_error,0.108,0.0,0.128,Low CV confidence may explain stock mismatch.,closed
AN00000086,2021-02-02,10095,normal,0.0,0.0,0.008,No material exception detected.,closed
AN00000087,2021-02-02,10100,normal,1.0,0.0,0.377,No material exception detected.,closed
AN00000088,2021-02-02,35035,normal,0.047,0.0,0.019,No material exception detected.,closed
AN00000089,2021-02-02,35192,normal,0.4,0.0,0.223,No material exception detected.,closed
AN00000090,2021-02-02,45470,normal,0.07,0.005,0.059,No material exception detected.,closed
AN00000091,2021-02-02,45657,normal,0.355,0.005,0.15,No material exception detected.,closed
AN00000092,2021-02-02,45678,normal,0.785,0.042,0.336,No material exception detected.,closed
AN00000093,2021-02-02,46019,normal,0.0,0.005,0.031,No material exception detected.,closed
AN00000094,2021-02-02,55845,normal,0.232,0.005,0.116,No material exception detected.,closed
AN00000095,2021-02-02,65044,normal,0.213,0.005,0.099,No material exception detected.,closed
AN00000096,2021-02-02,70133,normal,0.357,0.0,0.156,No material exception detected.,closed
