snapshot_id,date,timestamp,sku_id,expected_stock,cv_count,count_confidence
CV00000001,2021-01-29,2021-01-29 23:30:00,10060,175,175,0.926
CV00000002,2021-01-30,2021-01-30 23:30:00,10060,148,149,0.976
CV00000003,2021-01-31,2021-01-31 23:30:00,10060,130,130,0.923
CV00000004,2021-02-01,2021-02-01 23:30:00,10060,101,102,0.629
CV00000005,2021-02-02,2021-02-02 23:30:00,10060,78,78,0.933
CV00000006,2021-02-03,2021-02-03 23:30:00,10060,58,58,0.886
CV00000007,2021-02-04,2021-02-04 23:30:00,10060,152,152,0.931
CV00000008,2021-02-05,2021-02-05 23:30:00,10060,150,150,0.901
CV00000009,2021-02-06,2021-02-06 23:30:00,10060,106,106,0.892
CV00000010,2021-02-07,2021-02-07 23:30:00,10060,92,92,0.971
CV00000011,2021-02-08,2021-02-08 23:30:00,10060,68,68,0.928
CV00000012,2021-02-09,2021-02-09 23:30:00,10060,68,67,0.606
CV00000013,2021-02-10,2021-02-10 23:30:00,10060,139,139,0.909
CV00000014,2021-02-11,2021-02-11 23:30:00,10060,111,111,0.97
CV00000015,2021-02-12,2021-02-12 23:30:00,10060,86,86,0.942
CV00000016,2021-02-13,2021-02-13 23:30:00,10060,71,72,0.928
CV00000017,2021-02-14,2021-02-14 23:30:00,10060,71,71,0.951
CV00000018,2021-02-15,2021-02-15 23:30:00,10060,144,145,0.988
CV00000019,2021-02-16,2021-02-16 23:30:00,10060,139,140,0.912
CV00000020,2021-02-17,2021-02-17 23:30:00,10060,135,135,0.942
CV00000021,2021-02-18,2021-02-18 23:30:00,10060,119,118,0.748
CV00000022,2021-02-19,2021-02-19 23:30:00,10060,93,93,0.895
CV00000023,2021-02-20,2021-02-20 23:30:00,10060,68,68,0.974
CV00000024,2021-02-21,2021-02-21 23:30:00,10060,63,62,0.744
CV00000025,2021-02-22,2021-02-22 23:30:00,10060,63,63,0.949
CV00000026,2021-02-23,2021-02-23 23:30:00,10060,57,57,0.916
CV00000027,2021-02-24,2021-02-24 23:30:00,10060,152,152,0.902
CV00000028,2021-02-25,2021-02-25 23:30:00,10060,144,144,0.966
CV00000029,2021-02-26,2021-02-26 23:30:00,10060,144,144,0.93
CV00000030,2021-02-27,2021-02-27 23:30:00,10060,125,125,0.877
CV00000031,2021-02-28,2021-02-28 23:30:00,10060,119,118,0.889
CV00000032,2021-03-01,2021-03-01 23:30:00,10060,111,110,0.762
CV00000033,2021-03-02,2021-03-02 23:30:00,10060,110,109,0.661
CV00000034,2021-03-03,2021-03-03 23:30:00,10060,103,103,0.978
CV00000035,2021-03-04,2021-03-04 23:30:00,10060,95,94,0.931
CV00000036,2021-03-05,2021-03-05 23:30:00,10060,71,72,0.967
CV00000037,2021-03-06,2021-03-06 23:30:00,10060,151,151,0.884
CV00000038,2021-03-07,2021-03-07 23:30:00,10060,128,129,0.878
CV00000039,2021-03-08,2021-03-08 23:30:00,10060,86,86,0.909
CV00000040,2021-03-09,2021-03-09 23:30:00,10060,145,144,0.901
CV00000041,2021-03-10,2021-03-10 23:30:00,10060,103,103,0.926
CV00000042,2021-03-11,2021-03-11 23:30:00,10060,76,77,0.966
CV00000043,2021-03-12,2021-03-12 23:30:00,10060,136,136,0.92
CV00000044,2021-03-13,2021-03-13 23:30:00,10060,85,84,0.988
CV00000045,2021-03-14,2021-03-14 23:30:00,10060,63,63,0.985
CV00000046,2021-03-15,2021-03-15 23:30:00,10060,147,147,0.866
CV00000047,2021-03-16,2021-03-16 23:30:00,10060,138,138,0.916
CV00000048,2021-03-17,2021-03-17 23:30:00,10060,138,138,0.987
CV00000049,2021-03-18,2021-03-18 23:30:00,10060,130,131,0.864
CV00000050,2021-03-19,2021-03-19 23:30:00,10060,130,131,0.776
CV00000051,2021-03-20,2021-03-20 23:30:00,10060,114,114,0.937
CV00000052,2021-03-21,2021-03-21 23:30:00,10060,114,114,0.917
CV00000053,2021-03-22,2021-03-22 23:30:00,10060,114,113,0.906
CV00000054,2021-03-23,2021-03-23 23:30:00,10060,101,101,0.874
CV00000055,2021-03-24,2021-03-24 23:30:00,10060,99,99,0.976
CV00000056,2021-03-25,2021-03-25 23:30:00,10060,99,98,0.89
CV00000057,2021-03-26,2021-03-26 23:30:00,10060,99,99,0.916
CV00000058,2021-03-27,2021-03-27 23:30:00,10060,87,87,0.987
CV00000059,2021-03-28,2021-03-28 23:30:00,10060,66,65,0.954
CV00000060,2021-03-29,2021-03-29 23:30:00,10060,66,66,0.911
