decision_id,date,sku_id,trigger_source,severity,final_decision,retry_count,token_cost
DC00000001,2021-01-29,A10026,restocking_delay,0.088,automatic_order_allowed,1,0.0755
DC00000002,2021-02-03,90143,cv_error,0.304,automatic_order_allowed,1,0.0621
DC00000003,2021-02-12,46019,restocking_delay,0.03,automatic_order_allowed,2,0.0598
DC00000004,2021-02-19,10094,cv_error,0.128,automatic_order_allowed,0,0.0749
DC00000005,2021-02-24,35192,restocking_delay,0.004,automatic_order_allowed,0,0.0308
DC00000006,2021-03-04,55845,restocking_delay,0.136,automatic_order_allowed,2,0.0195
DC00000007,2021-03-11,45657,restocking_delay,0.266,automatic_order_allowed,2,0.0578
DC00000008,2021-03-20,35192,planogram_mismatch,0.027,automatic_order_allowed,1,0.0551
DC00000009,2021-03-26,10100,planogram_mismatch,0.015,automatic_order_allowed,2,0.0709
DC00000010,2021-04-04,10092,cv_error,0.051,automatic_order_allowed,2,0.0732
DC00000011,2021-04-11,55845,restocking_delay,0.061,automatic_order_allowed,2,0.0428
DC00000012,2021-04-19,10100,planogram_mismatch,0.028,automatic_order_allowed,1,0.0661
DC00000013,2021-04-24,90130,cv_error,0.028,automatic_order_allowed,0,0.0473
DC00000014,2021-05-03,35035,planogram_mismatch,0.134,automatic_order_allowed,1,0.0266
DC00000015,2021-05-11,45657,planogram_mismatch,0.146,automatic_order_allowed,1,0.0282
DC00000016,2021-05-16,10100,planogram_mismatch,0.006,automatic_order_allowed,2,0.0786
DC00000017,2021-05-20,90143,planogram_mismatch,0.229,automatic_order_allowed,1,0.0496
DC00000018,2021-05-27,10060,cv_error,0.244,automatic_order_allowed,1,0.0374
DC00000019,2021-06-02,A10026,cv_error,0.063,automatic_order_allowed,1,0.0275
DC00000020,2021-06-07,90130,cv_error,0.022,automatic_order_allowed,0,0.0275
DC00000021,2021-06-14,45470,restocking_delay,0.247,automatic_order_allowed,2,0.0665
DC00000022,2021-06-22,90143,planogram_mismatch,0.034,automatic_order_allowed,2,0.067
DC00000023,2021-06-29,65044,cv_error,0.033,automatic_order_allowed,2,0.0449
DC00000024,2021-07-05,70133,cv_error,0.285,automatic_order_allowed,2,0.0365
DC00000025,2021-07-12,35035,restocking_delay,0.272,automatic_order_allowed,2,0.0469
DC00000026,2021-07-24,45470,restocking_delay,0.133,automatic_order_allowed,0,0.0476
DC00000027,2021-08-02,10092,cv_error,0.028,automatic_order_allowed,0,0.0404
DC00000028,2021-08-13,10091,demand_spike,0.379,automatic_order_allowed,0,0.026
DC00000029,2021-08-24,10093,restocking_delay,0.032,automatic_order_allowed,0,0.0684
DC00000030,2021-08-29,90130,restocking_delay,0.004,automatic_order_allowed,0,0.0142
DC00000031,2021-09-04,46019,restocking_delay,0.024,automatic_order_allowed,0,0.0798
DC00000032,2021-09-10,10092,cv_error,0.112,automatic_order_allowed,0,0.0765
DC00000033,2021-09-16,45678,restocking_delay,0.203,automatic_order_allowed,0,0.0284
DC00000034,2021-09-24,45470,cv_error,0.01,automatic_order_allowed,0,0.0149
DC00000035,2021-09-30,10094,cv_error,0.133,automatic_order_allowed,1,0.0462
DC00000036,2021-10-07,A10026,cv_error,0.092,automatic_order_allowed,2,0.0704
DC00000037,2021-10-13,35035,cv_error,0.025,automatic_order_allowed,0,0.0708
