validation_id,date,sku_id,semantic_check,stock_audit,constraint_check,final_result,retry_count
VA00000001,2021-02-04,10060,pass,review,pass,review,2
VA00000002,2021-03-09,10060,pass,pass,pass,pass,0
VA00000003,2021-05-11,10060,pass,review,fail,block,1
VA00000004,2021-06-01,10060,pass,review,fail,block,0
VA00000005,2021-07-05,10060,pass,pass,pass,pass,0
VA00000006,2021-07-17,10060,pass,review,pass,review,1
VA00000007,2021-08-04,10060,pass,pass,pass,pass,0
VA00000008,2021-08-16,10060,pass,review,pass,review,1
VA00000009,2021-09-11,10060,pass,pass,pass,pass,0
VA00000010,2021-09-28,10060,pass,pass,pass,pass,0
VA00000011,2021-10-10,10060,pass,pass,pass,pass,0
VA00000012,2021-10-27,10060,pass,review,fail,block,2
VA00000013,2021-11-19,10060,pass,pass,pass,pass,0
VA00000014,2021-12-08,10060,pass,pass,pass,pass,0
VA00000015,2021-12-28,10060,pass,review,fail,block,2
VA00000016,2022-01-15,10060,pass,pass,pass,pass,0
VA00000017,2022-02-02,10060,pass,pass,pass,pass,0
VA00000018,2022-02-20,10060,pass,review,fail,block,0
VA00000019,2022-04-07,10060,pass,pass,pass,pass,0
VA00000020,2022-04-28,10060,pass,pass,pass,pass,0
VA00000021,2022-05-18,10060,pass,review,fail,block,1
VA00000022,2022-06-08,10060,pass,pass,pass,pass,0
VA00000023,2022-06-29,10060,pass,review,fail,block,2
VA00000024,2022-07-20,10060,pass,pass,pass,pass,0
VA00000025,2022-08-08,10060,pass,pass,pass,pass,0
VA00000026,2022-08-30,10060,pass,review,fail,block,0
VA00000027,2022-09-19,10060,pass,pass,pass,pass,0
VA00000028,2022-10-11,10060,pass,pass,pass,pass,0
VA00000029,2022-11-03,10060,pass,review,pass,review,2
VA00000030,2022-11-26,10060,pass,pass,pass,pass,0
VA00000031,2022-12-18,10060,pass,pass,pass,pass,0
VA00000032,2023-01-09,10060,pass,pass,pass,pass,0
VA00000033,2023-02-02,10060,pass,review,pass,review,1
VA00000034,2023-03-01,10060,pass,pass,pass,pass,0
VA00000035,2023-04-23,10060,pass,review,fail,block,2
VA00000036,2023-05-22,10060,pass,review,fail,block,1
VA00000037,2023-06-20,10060,pass,pass,pass,pass,0
VA00000038,2023-07-14,10060,pass,pass,pass,pass,0
VA00000039,2023-08-02,10060,pass,pass,pass,pass,0
VA00000040,2023-08-17,10060,pass,review,fail,block,1
VA00000041,2023-09-07,10060,pass,pass,pass,pass,0
VA00000042,2023-09-29,10060,pass,review,fail,block,0
VA00000043,2023-10-14,10060,pass,pass,pass,pass,0
VA00000044,2023-11-04,10060,pass,review,fail,block,2
VA00000045,2023-11-25,10060,pass,pass,pass,pass,0
VA00000046,2023-12-20,10060,pass,pass,pass,pass,0
VA00000047,2024-01-13,10060,pass,review,pass,review,0
VA00000048,2024-02-10,10060,pass,pass,pass,pass,0
VA00000049,2024-03-09,10060,pass,review,pass,review,2
VA00000050,2024-04-20,10060,pass,review,pass,review,1
VA00000051,2024-05-15,10060,pass,review,fail,block,0
VA00000052,2024-06-12,10060,pass,review,pass,review,2
VA00000053,2024-07-18,10060,pass,pass,pass,pass,0
VA00000054,2024-08-11,10060,pass,pass,pass,pass,0
VA00000055,2024-09-07,10060,pass,review,pass,review,2
VA00000056,2024-10-04,10060,pass,pass,pass,pass,0
VA00000057,2024-11-01,10060,pass,pass,pass,pass,0
VA00000058,2024-11-30,10060,pass,review,fail,block,0
VA00000059,2025-01-03,10060,pass,review,pass,review,2
VA00000060,2025-02-03,10060,pass,review,fail,block,0
VA00000061,2025-03-07,10060,pass,review,fail,block,2
VA00000062,2025-04-12,10060,pass,pass,pass,pass,0
VA00000063,2025-05-12,10060,pass,review,pass,review,0
VA00000064,2025-06-19,10060,pass,review,fail,block,2
VA00000065,2025-07-26,10060,pass,review,pass,review,2
VA00000066,2025-08-23,10060,pass,pass,pass,pass,0
VA00000067,2025-09-21,10060,pass,pass,pass,pass,0
VA00000068,2025-10-18,10060,pass,review,pass,review,0
VA00000069,2025-11-15,10060,pass,pass,pass,pass,0
VA00000070,2025-12-19,10060,pass,pass,pass,pass,0
VA00000071,2026-01-17,10060,pass,pass,pass,pass,0
VA00000072,2026-02-16,10060,pass,pass,pass,pass,0
VA00000073,2026-03-15,10060,pass,review,pass,review,0
VA00000074,2026-04-16,10060,pass,pass,pass,pass,0
VA00000075,2026-05-17,10060,pass,review,fail,block,0
VA00000076,2021-03-08,10091,pass,pass,pass,pass,0
VA00000077,2021-05-11,10091,pass,pass,pass,pass,0
VA00000078,2021-06-09,10091,pass,review,fail,block,0
VA00000079,2021-07-03,10091,pass,pass,pass,pass,0
VA00000080,2021-07-16,10091,pass,pass,pass,pass,0
VA00000081,2021-08-04,10091,pass,review,fail,block,1
VA00000082,2021-08-20,10091,pass,pass,pass,pass,0
VA00000083,2021-09-18,10091,pass,pass,pass,pass,0
VA00000084,2021-10-07,10091,pass,review,pass,review,0
VA00000085,2021-10-26,10091,pass,pass,pass,pass,0
VA00000086,2021-11-18,10091,pass,review,fail,block,1
VA00000087,2021-12-11,10091,pass,pass,pass,pass,0
VA00000088,2022-01-04,10091,pass,pass,pass,pass,0
VA00000089,2022-01-21,10091,pass,pass,pass,pass,0
VA00000090,2022-02-09,10091,pass,review,pass,review,1
VA00000091,2022-02-26,10091,pass,review,pass,review,1
VA00000092,2022-04-08,10091,pass,review,pass,review,0
VA00000093,2022-04-28,10091,pass,pass,pass,pass,0
VA00000094,2022-05-19,10091,pass,review,pass,review,2
VA00000095,2022-06-10,10091,pass,review,fail,block,2
VA00000096,2022-06-30,10091,pass,review,fail,block,2
VA00000097,2022-07-19,10091,pass,review,pass,review,0
VA00000098,2022-08-06,10091,pass,review,fail,block,2
VA00000099,2022-08-24,10091,pass,pass,pass,pass,0
VA00000100,2022-09-10,10091,pass,pass,pass,pass,0
VA00000101,2022-09-30,10091,pass,pass,pass,pass,0
VA00000102,2022-10-15,10091,pass,pass,pass,pass,0
VA00000103,2022-11-05,10091,pass,pass,pass,pass,0
VA00000104,2022-11-30,10091,pass,review,fail,block,2
