date,sku_id,opening_stock,units_sold,restock_qty,closing_stock,expected_stock
2021-01-29,10060,190,15,0,175,175
2021-01-30,10060,175,27,0,148,148
2021-01-31,10060,148,18,0,130,130
2021-02-01,10060,130,29,0,101,101
2021-02-02,10060,101,23,0,78,78
2021-02-03,10060,78,20,0,58,58
2021-02-04,10060,58,2,96,152,56
2021-02-05,10060,152,2,0,150,150
2021-02-06,10060,150,44,0,106,106
2021-02-07,10060,106,14,0,92,92
2021-02-08,10060,92,24,0,68,68
2021-02-09,10060,68,0,0,68,68
2021-02-10,10060,68,25,96,139,43
2021-02-11,10060,139,28,0,111,111
2021-02-12,10060,111,25,0,86,86
2021-02-13,10060,86,15,0,71,71
2021-02-14,10060,71,0,0,71,71
2021-02-15,10060,71,23,96,144,48
2021-02-16,10060,144,5,0,139,139
2021-02-17,10060,139,4,0,135,135
2021-02-18,10060,135,16,0,119,119
2021-02-19,10060,119,26,0,93,93
2021-02-20,10060,93,25,0,68,68
2021-02-21,10060,68,5,0,63,63
2021-02-22,10060,63,0,0,63,63
2021-02-23,10060,63,6,0,57,57
2021-02-24,10060,57,1,96,152,56
2021-02-25,10060,152,8,0,144,144
2021-02-26,10060,144,0,0,144,144
2021-02-27,10060,144,19,0,125,125
2021-02-28,10060,125,6,0,119,119
2021-03-01,10060,119,8,0,111,111
2021-03-02,10060,111,1,0,110,110
2021-03-03,10060,110,7,0,103,103
2021-03-04,10060,103,8,0,95,95
2021-03-05,10060,95,24,0,71,71
2021-03-06,10060,71,16,96,151,55
2021-03-07,10060,151,23,0,128,128
2021-03-08,10060,128,42,0,86,86
2021-03-09,10060,86,37,96,145,49
2021-03-10,10060,145,42,0,103,103
2021-03-11,10060,103,27,0,76,76
2021-03-12,10060,76,36,96,136,40
2021-03-13,10060,136,51,0,85,85
2021-03-14,10060,85,22,0,63,63
2021-03-15,10060,63,12,96,147,51
2021-03-16,10060,147,9,0,138,138
2021-03-17,10060,138,0,0,138,138
2021-03-18,10060,138,8,0,130,130
2021-03-19,10060,130,0,0,130,130
2021-03-20,10060,130,16,0,114,114
2021-03-21,10060,114,0,0,114,114
2021-03-22,10060,114,0,0,114,114
2021-03-23,10060,114,13,0,101,101
2021-03-24,10060,101,2,0,99,99
2021-03-25,10060,99,0,0,99,99
2021-03-26,10060,99,0,0,99,99
2021-03-27,10060,99,12,0,87,87
2021-03-28,10060,87,21,0,66,66
2021-03-29,10060,66,0,0,66,66
2021-03-30,10060,66,0,0,66,66
2021-03-31,10060,66,9,0,57,57
2021-04-01,10060,57,7,96,146,50
2021-04-02,10060,146,9,0,137,137
2021-04-03,10060,137,15,0,122,122
2021-04-04,10060,122,0,0,122,122
2021-04-05,10060,122,8,0,114,114
2021-04-06,10060,114,0,0,114,114
2021-04-07,10060,114,0,0,114,114
2021-04-08,10060,114,16,0,98,98
2021-04-09,10060,98,0,0,98,98
