draft_id,date,sku_id,suggested_qty,reasoning,confidence
DR00000001,2021-02-04,10060,96,Stock is at or below deterministic reorder point.,0.887
DR00000002,2021-03-09,10060,96,Stock is at or below deterministic reorder point.,0.887
DR00000003,2021-05-11,10060,96,Stock is at or below deterministic reorder point.,0.799
DR00000004,2021-06-01,10060,96,Stock is at or below deterministic reorder point.,0.921
DR00000005,2021-07-05,10060,96,Stock is at or below deterministic reorder point.,0.959
DR00000006,2021-07-17,10060,96,Stock is at or below deterministic reorder point.,0.805
DR00000007,2021-08-04,10060,96,Stock is at or below deterministic reorder point.,0.823
DR00000008,2021-08-16,10060,96,Stock is at or below deterministic reorder point.,0.861
DR00000009,2021-09-11,10060,96,Stock is at or below deterministic reorder point.,0.921
DR00000010,2021-09-28,10060,96,Stock is at or below deterministic reorder point.,0.945
DR00000011,2021-10-10,10060,96,Stock is at or below deterministic reorder point.,0.899
DR00000012,2021-10-27,10060,96,Stock is at or below deterministic reorder point.,0.931
DR00000013,2021-11-19,10060,96,Stock is at or below deterministic reorder point.,0.951
DR00000014,2021-12-08,10060,96,Stock is at or below deterministic reorder point.,0.818
DR00000015,2021-12-28,10060,96,Stock is at or below deterministic reorder point.,0.898
DR00000016,2022-01-15,10060,96,Stock is at or below deterministic reorder point.,0.791
DR00000017,2022-02-02,10060,96,Stock is at or below deterministic reorder point.,0.84
DR00000018,2022-02-20,10060,96,Stock is at or below deterministic reorder point.,0.936
DR00000019,2022-04-07,10060,96,Stock is at or below deterministic reorder point.,0.801
DR00000020,2022-04-28,10060,96,Stock is at or below deterministic reorder point.,0.891
DR00000021,2022-05-18,10060,96,Stock is at or below deterministic reorder point.,0.88
DR00000022,2022-06-08,10060,96,Stock is at or below deterministic reorder point.,0.955
DR00000023,2022-06-29,10060,96,Stock is at or below deterministic reorder point.,0.81
DR00000024,2022-07-20,10060,96,Stock is at or below deterministic reorder point.,0.832
DR00000025,2022-08-08,10060,96,Stock is at or below deterministic reorder point.,0.859
DR00000026,2022-08-30,10060,96,Stock is at or below deterministic reorder point.,0.82
DR00000027,2022-09-19,10060,96,Stock is at or below deterministic reorder point.,0.905
DR00000028,2022-10-11,10060,96,Stock is at or below deterministic reorder point.,0.941
DR00000029,2022-11-03,10060,96,Stock is at or below deterministic reorder point.,0.8
DR00000030,2022-11-26,10060,96,Stock is at or below deterministic reorder point.,0.845
DR00000031,2022-12-18,10060,96,Stock is at or below deterministic reorder point.,0.884
DR00000032,2023-01-09,10060,96,Stock is at or below deterministic reorder point.,0.782
DR00000033,2023-02-02,10060,96,Stock is at or below deterministic reorder point.,0.888
DR00000034,2023-03-01,10060,96,Stock is at or below deterministic reorder point.,0.794
DR00000035,2023-04-23,10060,96,Stock is at or below deterministic reorder point.,0.909
DR00000036,2023-05-22,10060,96,Stock is at or below deterministic reorder point.,0.869
DR00000037,2023-06-20,10060,96,Stock is at or below deterministic reorder point.,0.83
DR00000038,2023-07-14,10060,96,Stock is at or below deterministic reorder point.,0.79
DR00000039,2023-08-02,10060,96,Stock is at or below deterministic reorder point.,0.868
DR00000040,2023-08-17,10060,96,Stock is at or below deterministic reorder point.,0.809
DR00000041,2023-09-07,10060,96,Stock is at or below deterministic reorder point.,0.834
DR00000042,2023-09-29,10060,96,Stock is at or below deterministic reorder point.,0.939
DR00000043,2023-10-14,10060,96,Stock is at or below deterministic reorder point.,0.922
DR00000044,2023-11-04,10060,96,Stock is at or below deterministic reorder point.,0.894
DR00000045,2023-11-25,10060,96,Stock is at or below deterministic reorder point.,0.921
DR00000046,2023-12-20,10060,96,Stock is at or below deterministic reorder point.,0.833
DR00000047,2024-01-13,10060,96,Stock is at or below deterministic reorder point.,0.952
DR00000048,2024-02-10,10060,96,Stock is at or below deterministic reorder point.,0.928
DR00000049,2024-03-09,10060,96,Stock is at or below deterministic reorder point.,0.82
DR00000050,2024-04-20,10060,96,Stock is at or below deterministic reorder point.,0.801
DR00000051,2024-05-15,10060,96,Stock is at or below deterministic reorder point.,0.898
DR00000052,2024-06-12,10060,96,Stock is at or below deterministic reorder point.,0.81
DR00000053,2024-07-18,10060,96,Stock is at or below deterministic reorder point.,0.95
DR00000054,2024-08-11,10060,96,Stock is at or below deterministic reorder point.,0.913
DR00000055,2024-09-07,10060,96,Stock is at or below deterministic reorder point.,0.953
DR00000056,2024-10-04,10060,96,Stock is at or below deterministic reorder point.,0.874
DR00000057,2024-11-01,10060,96,Stock is at or below deterministic reorder point.,0.867
DR00000058,2024-11-30,10060,96,Stock is at or below deterministic reorder point.,0.892
DR00000059,2025-01-03,10060,96,Stock is at or below deterministic reorder point.,0.895
DR00000060,2025-02-03,10060,96,Stock is at or below deterministic reorder point.,0.93
DR00000061,2025-03-07,10060,96,Stock is at or below deterministic reorder point.,0.955
DR00000062,2025-04-12,10060,96,Stock is at or below deterministic reorder point.,0.947
DR00000063,2025-05-12,10060,96,Stock is at or below deterministic reorder point.,0.782
DR00000064,2025-06-19,10060,96,Stock is at or below deterministic reorder point.,0.954
DR00000065,2025-07-26,10060,96,Stock is at or below deterministic reorder point.,0.87
DR00000066,2025-08-23,10060,96,Stock is at or below deterministic reorder point.,0.914
DR00000067,2025-09-21,10060,96,Stock is at or below deterministic reorder point.,0.845
