date,sku_id,promotion_flag,promotion_type,discount_rate,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2021-01-29,10060,0,none,0.0,,,,,0,0,0
2021-01-29,10091,0,none,0.0,,,,,0,0,0
2021-01-29,10092,0,none,0.0,,,,,0,0,0
2021-01-29,10093,0,none,0.0,,,,,0,0,0
2021-01-29,10094,0,none,0.0,,,,,0,0,0
2021-01-29,10095,0,none,0.0,,,,,0,0,0
2021-01-29,10100,0,none,0.0,,,,,0,0,0
2021-01-29,35035,0,none,0.0,,,,,0,0,0
2021-01-29,35192,0,none,0.0,,,,,0,0,0
2021-01-29,45470,0,none,0.0,,,,,0,0,0
2021-01-29,45657,0,none,0.0,,,,,0,0,0
2021-01-29,45678,0,none,0.0,,,,,0,0,0
2021-01-29,46019,0,none,0.0,,,,,0,0,0
2021-01-29,55845,0,none,0.0,,,,,0,0,0
2021-01-29,65044,0,none,0.0,,,,,0,0,0
2021-01-29,70133,0,none,0.0,,,,,0,0,0
2021-01-29,90130,0,none,0.0,,,,,0,0,0
2021-01-29,90143,0,none,0.0,,,,,0,0,0
2021-01-29,A10026,0,none,0.0,,,,,0,0,0
2021-01-29,A30035,0,none,0.0,,,,,0,0,0
2021-01-30,10060,0,none,0.0,,,,,0,0,0
2021-01-30,10091,0,none,0.0,,,,,0,0,0
2021-01-30,10092,0,none,0.0,,,,,0,0,0
2021-01-30,10093,1,bundle,0.09,,,,,0,0,0
2021-01-30,10094,0,none,0.0,,,,,0,0,0
2021-01-30,10095,0,none,0.0,,,,,0,0,0
2021-01-30,10100,0,none,0.0,,,,,0,0,0
2021-01-30,35035,0,none,0.0,,,,,0,0,0
2021-01-30,35192,0,none,0.0,,,,,0,0,0
2021-01-30,45470,0,none,0.0,,,,,0,0,0
2021-01-30,45657,0,none,0.0,,,,,0,0,0
2021-01-30,45678,0,none,0.0,,,,,0,0,0
2021-01-30,46019,0,none,0.0,,,,,0,0,0
2021-01-30,55845,0,none,0.0,,,,,0,0,0
2021-01-30,65044,0,none,0.0,,,,,0,0,0
2021-01-30,70133,0,none,0.0,,,,,0,0,0
2021-01-30,90130,0,none,0.0,,,,,0,0,0
2021-01-30,90143,0,none,0.0,,,,,0,0,0
2021-01-30,A10026,1,endcap,0.24,,,,,0,0,0
2021-01-30,A30035,0,none,0.0,,,,,0,0,0
2021-01-31,10060,0,none,0.0,,,,,0,0,0
2021-01-31,10091,0,none,0.0,,,,,0,0,0
2021-01-31,10092,0,none,0.0,,,,,0,0,0
2021-01-31,10093,0,none,0.0,,,,,0,0,0
2021-01-31,10094,1,endcap,0.18,,,,,0,0,0
2021-01-31,10095,0,none,0.0,,,,,0,0,0
2021-01-31,10100,0,none,0.0,,,,,0,0,0
2021-01-31,35035,0,none,0.0,,,,,0,0,0
2021-01-31,35192,0,none,0.0,,,,,0,0,0
2021-01-31,45470,0,none,0.0,,,,,0,0,0
2021-01-31,45657,0,none,0.0,,,,,0,0,0
2021-01-31,45678,0,none,0.0,,,,,0,0,0
2021-01-31,46019,0,none,0.0,,,,,0,0,0
2021-01-31,55845,0,none,0.0,,,,,0,0,0
2021-01-31,65044,0,none,0.0,,,,,0,0,0
2021-01-31,70133,0,none,0.0,,,,,0,0,0
2021-01-31,90130,0,none,0.0,,,,,0,0,0
2021-01-31,90143,0,none,0.0,,,,,0,0,0
2021-01-31,A10026,0,none,0.0,,,,,0,0,0
2021-01-31,A30035,0,none,0.0,,,,,0,0,0
2021-02-01,10060,1,snap,0.21,,,,,1,1,0
2021-02-01,10091,1,snap,0.21,,,,,1,1,0
2021-02-01,10092,1,snap,0.2,,,,,1,1,0
2021-02-01,10093,1,snap,0.24,,,,,1,1,0
2021-02-01,10094,1,snap,0.1,,,,,1,1,0
2021-02-01,10095,1,snap,0.22,,,,,1,1,0
2021-02-01,10100,1,snap,0.12,,,,,1,1,0
2021-02-01,35035,1,snap,0.16,,,,,1,1,0
2021-02-01,35192,1,snap,0.14,,,,,1,1,0
2021-02-01,45470,1,snap,0.05,,,,,1,1,0
2021-02-01,45657,1,snap,0.16,,,,,1,1,0
2021-02-01,45678,1,snap,0.2,,,,,1,1,0
2021-02-01,46019,1,snap,0.08,,,,,1,1,0
2021-02-01,55845,1,snap,0.24,,,,,1,1,0
2021-02-01,65044,1,snap,0.16,,,,,1,1,0
2021-02-01,70133,1,snap,0.09,,,,,1,1,0
2021-02-01,90130,1,snap,0.18,,,,,1,1,0
2021-02-01,90143,1,snap,0.09,,,,,1,1,0
2021-02-01,A10026,1,snap,0.06,,,,,1,1,0
2021-02-01,A30035,1,snap,0.19,,,,,1,1,0
2021-02-02,10060,1,snap,0.07,,,,,1,0,1
2021-02-02,10091,1,snap,0.07,,,,,1,0,1
2021-02-02,10092,1,snap,0.2,,,,,1,0,1
2021-02-02,10093,1,snap,0.06,,,,,1,0,1
2021-02-02,10094,1,snap,0.21,,,,,1,0,1
2021-02-02,10095,1,snap,0.21,,,,,1,0,1
2021-02-02,10100,1,snap,0.08,,,,,1,0,1
2021-02-02,35035,1,snap,0.15,,,,,1,0,1
2021-02-02,35192,1,snap,0.07,,,,,1,0,1
2021-02-02,45470,1,snap,0.18,,,,,1,0,1
2021-02-02,45657,1,snap,0.06,,,,,1,0,1
2021-02-02,45678,1,snap,0.24,,,,,1,0,1
2021-02-02,46019,1,snap,0.09,,,,,1,0,1
2021-02-02,55845,1,snap,0.19,,,,,1,0,1
2021-02-02,65044,1,snap,0.08,,,,,1,0,1
2021-02-02,70133,1,snap,0.09,,,,,1,0,1
2021-02-02,90130,1,snap,0.14,,,,,1,0,1
2021-02-02,90143,1,snap,0.16,,,,,1,0,1
2021-02-02,A10026,1,snap,0.25,,,,,1,0,1
2021-02-02,A30035,1,snap,0.06,,,,,1,0,1
2021-02-03,10060,1,snap,0.05,,,,,1,1,1
2021-02-03,10091,1,snap,0.12,,,,,1,1,1
2021-02-03,10092,1,snap,0.12,,,,,1,1,1
2021-02-03,10093,1,snap,0.23,,,,,1,1,1
2021-02-03,10094,1,snap,0.23,,,,,1,1,1
2021-02-03,10095,1,snap,0.23,,,,,1,1,1
2021-02-03,10100,1,snap,0.08,,,,,1,1,1
2021-02-03,35035,1,snap,0.13,,,,,1,1,1
2021-02-03,35192,1,snap,0.2,,,,,1,1,1
2021-02-03,45470,1,snap,0.11,,,,,1,1,1
2021-02-03,45657,1,snap,0.18,,,,,1,1,1
2021-02-03,45678,1,snap,0.1,,,,,1,1,1
2021-02-03,46019,1,snap,0.11,,,,,1,1,1
2021-02-03,55845,1,snap,0.22,,,,,1,1,1
2021-02-03,65044,1,snap,0.1,,,,,1,1,1
2021-02-03,70133,1,snap,0.24,,,,,1,1,1
2021-02-03,90130,1,snap,0.11,,,,,1,1,1
2021-02-03,90143,1,snap,0.05,,,,,1,1,1
2021-02-03,A10026,1,snap,0.1,,,,,1,1,1
2021-02-03,A30035,1,snap,0.08,,,,,1,1,1
2021-02-04,10060,1,snap,0.15,,,,,1,0,0
2021-02-04,10091,1,snap,0.07,,,,,1,0,0
2021-02-04,10092,1,snap,0.18,,,,,1,0,0
2021-02-04,10093,1,snap,0.22,,,,,1,0,0
2021-02-04,10094,1,snap,0.12,,,,,1,0,0
2021-02-04,10095,1,snap,0.08,,,,,1,0,0
2021-02-04,10100,1,snap,0.13,,,,,1,0,0
2021-02-04,35035,1,snap,0.21,,,,,1,0,0
2021-02-04,35192,1,snap,0.17,,,,,1,0,0
2021-02-04,45470,1,snap,0.07,,,,,1,0,0
2021-02-04,45657,1,snap,0.16,,,,,1,0,0
2021-02-04,45678,1,snap,0.14,,,,,1,0,0
2021-02-04,46019,1,snap,0.12,,,,,1,0,0
2021-02-04,55845,1,snap,0.07,,,,,1,0,0
2021-02-04,65044,1,snap,0.25,,,,,1,0,0
2021-02-04,70133,1,snap,0.09,,,,,1,0,0
2021-02-04,90130,1,snap,0.09,,,,,1,0,0
2021-02-04,90143,1,snap,0.08,,,,,1,0,0
2021-02-04,A10026,1,snap,0.16,,,,,1,0,0
2021-02-04,A30035,1,snap,0.14,,,,,1,0,0
2021-02-05,10060,1,snap,0.1,,,,,1,1,1
2021-02-05,10091,1,snap,0.14,,,,,1,1,1
2021-02-05,10092,1,snap,0.18,,,,,1,1,1
2021-02-05,10093,1,snap,0.11,,,,,1,1,1
2021-02-05,10094,1,snap,0.23,,,,,1,1,1
2021-02-05,10095,1,snap,0.11,,,,,1,1,1
2021-02-05,10100,1,snap,0.09,,,,,1,1,1
2021-02-05,35035,1,snap,0.24,,,,,1,1,1
2021-02-05,35192,1,snap,0.21,,,,,1,1,1
2021-02-05,45470,1,snap,0.12,,,,,1,1,1
2021-02-05,45657,1,snap,0.22,,,,,1,1,1
2021-02-05,45678,1,snap,0.15,,,,,1,1,1
2021-02-05,46019,1,snap,0.12,,,,,1,1,1
2021-02-05,55845,1,snap,0.22,,,,,1,1,1
2021-02-05,65044,1,snap,0.2,,,,,1,1,1
2021-02-05,70133,1,snap,0.11,,,,,1,1,1
2021-02-05,90130,1,snap,0.17,,,,,1,1,1
2021-02-05,90143,1,snap,0.12,,,,,1,1,1
2021-02-05,A10026,1,snap,0.05,,,,,1,1,1
2021-02-05,A30035,1,snap,0.24,,,,,1,1,1
2021-02-06,10060,1,Sporting,0.16,SuperBowl,Sporting,,,1,1,1
2021-02-06,10091,1,Sporting,0.17,SuperBowl,Sporting,,,1,1,1
2021-02-06,10092,1,Sporting,0.17,SuperBowl,Sporting,,,1,1,1
2021-02-06,10093,1,Sporting,0.16,SuperBowl,Sporting,,,1,1,1
2021-02-06,10094,1,Sporting,0.11,SuperBowl,Sporting,,,1,1,1
2021-02-06,10095,1,Sporting,0.24,SuperBowl,Sporting,,,1,1,1
2021-02-06,10100,1,Sporting,0.17,SuperBowl,Sporting,,,1,1,1
2021-02-06,35035,1,Sporting,0.18,SuperBowl,Sporting,,,1,1,1
2021-02-06,35192,1,Sporting,0.14,SuperBowl,Sporting,,,1,1,1
2021-02-06,45470,1,Sporting,0.11,SuperBowl,Sporting,,,1,1,1
2021-02-06,45657,1,Sporting,0.06,SuperBowl,Sporting,,,1,1,1
2021-02-06,45678,1,Sporting,0.12,SuperBowl,Sporting,,,1,1,1
2021-02-06,46019,1,Sporting,0.09,SuperBowl,Sporting,,,1,1,1
2021-02-06,55845,1,Sporting,0.18,SuperBowl,Sporting,,,1,1,1
2021-02-06,65044,1,Sporting,0.23,SuperBowl,Sporting,,,1,1,1
2021-02-06,70133,1,Sporting,0.11,SuperBowl,Sporting,,,1,1,1
2021-02-06,90130,1,Sporting,0.12,SuperBowl,Sporting,,,1,1,1
2021-02-06,90143,1,Sporting,0.18,SuperBowl,Sporting,,,1,1,1
2021-02-06,A10026,1,Sporting,0.08,SuperBowl,Sporting,,,1,1,1
2021-02-06,A30035,1,Sporting,0.24,SuperBowl,Sporting,,,1,1,1
2021-02-07,10060,1,snap,0.12,,,,,1,1,0
2021-02-07,10091,1,snap,0.07,,,,,1,1,0
2021-02-07,10092,1,snap,0.08,,,,,1,1,0
2021-02-07,10093,1,snap,0.24,,,,,1,1,0
2021-02-07,10094,1,snap,0.1,,,,,1,1,0
2021-02-07,10095,1,snap,0.18,,,,,1,1,0
2021-02-07,10100,1,snap,0.08,,,,,1,1,0
2021-02-07,35035,1,snap,0.09,,,,,1,1,0
2021-02-07,35192,1,snap,0.23,,,,,1,1,0
2021-02-07,45470,1,snap,0.08,,,,,1,1,0
2021-02-07,45657,1,snap,0.05,,,,,1,1,0
2021-02-07,45678,1,snap,0.15,,,,,1,1,0
2021-02-07,46019,1,snap,0.22,,,,,1,1,0
2021-02-07,55845,1,snap,0.12,,,,,1,1,0
2021-02-07,65044,1,snap,0.08,,,,,1,1,0
2021-02-07,70133,1,snap,0.25,,,,,1,1,0
2021-02-07,90130,1,snap,0.19,,,,,1,1,0
2021-02-07,90143,1,snap,0.22,,,,,1,1,0
2021-02-07,A10026,1,snap,0.2,,,,,1,1,0
2021-02-07,A30035,1,snap,0.19,,,,,1,1,0
2021-02-08,10060,1,snap,0.13,,,,,1,0,1
2021-02-08,10091,1,snap,0.11,,,,,1,0,1
2021-02-08,10092,1,snap,0.19,,,,,1,0,1
2021-02-08,10093,1,snap,0.19,,,,,1,0,1
2021-02-08,10094,1,snap,0.24,,,,,1,0,1
