sku_id,product_name,category,supplier_id,representative_image_path,unit_cost,selling_price,pack_size,reorder_point,reorder_quantity,min_order_qty,max_order_qty,storage_volume
10060,해태포키블루베리41G,snack,SUP001,10060_해태포키블루베리41G/10060_0_s_1.jpg,2.05,3.23,12,56,96,12,384,0.0157
10091,꼬깔콘고소한맛72G,snack,SUP001,10091_꼬깔콘고소한맛72G/10091_0_s_17.jpg,2.0,3.23,10,64,110,10,440,0.0035
10092,농심오징어집83G,misc,SUP003,10092_농심오징어집83G/10092_0_s_1.jpg,0.93,1.38,16,200,336,16,1344,0.0146
10093,농심매운새우깡90G,snack,SUP001,10093_농심매운새우깡90G/10093_0_s_13.jpg,2.2,4.35,16,98,176,16,704,0.0092
10094,크라운)콘초66G,snack,SUP001,10094_크라운)콘초66G/10094_0_s_1.jpg,0.84,1.52,8,118,200,8,800,0.0123
10095,농심바나나킥75G,snack,SUP001,10095_농심바나나킥75G/10095_0_s_15.jpg,1.33,2.07,20,47,80,20,320,0.0091
10100,롯데)자일리톨베타비타D용기86G,misc,SUP003,10100_롯데)자일리톨베타비타D용기86G/10100_0_s_1.jpg,0.69,1.32,6,52,90,6,360,0.003
35035,팔도왕뚜껑110G,noodles,SUP002,35035_팔도왕뚜껑110G/35035_00_s_12.jpg,0.65,1.0,12,44,84,12,336,0.0121
35192,신선에프앤브이)파인애플컵400G,misc,SUP003,35192_신선에프앤브이)파인애플컵400G/35192_00_s_21.jpg,0.87,1.38,16,46,80,16,320,0.0175
45470,호남샤니)제리뽀사과맛,misc,SUP003,45470_호남샤니)제리뽀사과맛/45470_00_s_23.jpg,0.66,1.0,10,57,100,10,400,0.0145
45657,씨제이)쁘티첼(요거젤리복숭아),snack,SUP001,45657_씨제이)쁘티첼(요거젤리복숭아)/45657_00_s_14.jpg,0.83,1.59,10,138,230,10,920,0.0027
45678,롯데제과)디저뜨와(구운치즈케이크타르트),misc,SUP003,45678_롯데제과)디저뜨와(구운치즈케이크타르트)/45678_00_s_12.jpg,1.31,2.56,10,82,140,10,560,0.0129
46019,아이배냇)쌩마멧유기농사과_바나나,misc,SUP003,46019_아이배냇)쌩마멧유기농사과_바나나/46019_00_s_13.jpg,1.45,2.3,10,43,80,10,320,0.0072
55845,영도물산)통밀도넛츠,snack,SUP001,55845_영도물산)통밀도넛츠/55845_00_m_4.jpg,0.55,1.0,20,54,100,20,400,0.0095
65044,농심보글보글부대찌개큰사발면,noodles,SUP002,65044_농심보글보글부대찌개큰사발면/65044_00_s_21.jpg,0.57,1.11,10,52,90,10,360,0.0096
70133,농심올리브짜파게티140G,noodles,SUP002,70133_농심올리브짜파게티140G/70133_00_s_24.jpg,0.8,1.52,6,85,144,6,576,0.0127
90130,농심오징어짬뽕큰사발115G,noodles,SUP002,90130_농심오징어짬뽕큰사발115G/90130_00_s_12.jpg,0.78,1.38,6,45,78,6,312,0.0132
90143,오뚜기참깨라면115G(봉),noodles,SUP002,90143_오뚜기참깨라면115G(봉)/90143_00_s_17.jpg,0.72,1.33,16,56,96,16,384,0.0153
A10026,삼색러브파스타,misc,SUP003,A10026_삼색러브파스타/A10026_00_s_10.jpg,2.02,3.15,20,41,80,20,320,0.0066
A30035,농심김치큰사발면,noodles,SUP002,A30035_농심김치큰사발면/A30035_00_s_13.jpg,0.62,1.0,10,72,120,10,480,0.0042
