date,temperature,weather,is_holiday,is_weekend
2021-01-29,21.8,cloudy,1,0
2021-01-30,21.8,cloudy,1,1
2021-01-31,19.1,sunny,1,1
2021-02-01,18.4,sunny,0,0
2021-02-02,17.9,cloudy,0,0
2021-02-03,19.6,cloudy,0,0
2021-02-04,22.9,sunny,0,0
2021-02-05,19.6,sunny,0,0
2021-02-06,17.3,sunny,1,1
2021-02-07,18.5,sunny,1,1
2021-02-08,21.9,cloudy,0,0
2021-02-09,22.1,sunny,0,0
2021-02-10,23.2,sunny,0,0
2021-02-11,20.8,sunny,0,0
2021-02-12,20.7,sunny,0,0
2021-02-13,23.6,sunny,1,1
2021-02-14,22.1,sunny,1,1
2021-02-15,22.3,sunny,0,0
2021-02-16,18.7,rainy,0,0
2021-02-17,20.1,snowy,0,0
2021-02-18,21.9,sunny,0,0
2021-02-19,22.5,rainy,0,0
2021-02-20,25.8,sunny,1,1
2021-02-21,24.7,cloudy,1,1
2021-02-22,21.7,cloudy,0,0
2021-02-23,22.0,cloudy,0,0
2021-02-24,28.5,sunny,0,0
2021-02-25,24.4,sunny,0,0
2021-02-26,26.5,sunny,0,0
2021-02-27,20.5,sunny,1,1
2021-02-28,21.4,cloudy,1,1
2021-03-01,20.2,sunny,0,0
2021-03-02,20.0,cloudy,0,0
2021-03-03,27.0,sunny,0,0
2021-03-04,25.9,sunny,0,0
2021-03-05,25.5,sunny,0,0
2021-03-06,23.0,sunny,1,1
2021-03-07,28.1,rainy,1,1
2021-03-08,24.5,sunny,0,0
2021-03-09,23.6,cloudy,0,0
2021-03-10,30.4,sunny,0,0
2021-03-11,23.7,sunny,0,0
2021-03-12,23.1,rainy,0,0
2021-03-13,27.9,sunny,1,1
2021-03-14,28.2,sunny,1,1
2021-03-15,25.0,rainy,0,0
2021-03-16,26.9,sunny,0,0
2021-03-17,21.8,cloudy,0,0
2021-03-18,26.1,sunny,0,0
2021-03-19,29.6,cloudy,0,0
2021-03-20,29.1,sunny,1,1
2021-03-21,30.4,sunny,1,1
2021-03-22,22.1,sunny,0,0
2021-03-23,31.0,sunny,0,0
2021-03-24,30.3,sunny,0,0
2021-03-25,23.2,snowy,0,0
2021-03-26,25.9,sunny,0,0
2021-03-27,30.2,sunny,1,1
2021-03-28,27.9,sunny,1,1
2021-03-29,25.8,cloudy,0,0
2021-03-30,23.4,cloudy,0,0
2021-03-31,22.0,sunny,0,0
2021-04-01,27.5,sunny,0,0
2021-04-02,29.0,snowy,0,0
2021-04-03,25.5,rainy,1,1
2021-04-04,25.3,cloudy,1,1
2021-04-05,26.5,sunny,0,0
2021-04-06,26.6,cloudy,0,0
2021-04-07,23.4,sunny,0,0
2021-04-08,24.1,sunny,1,0
2021-04-09,23.7,sunny,0,0
2021-04-10,25.4,cloudy,1,1
2021-04-11,24.2,sunny,1,1
2021-04-12,29.2,rainy,0,0
2021-04-13,21.4,sunny,0,0
2021-04-14,22.4,sunny,0,0
2021-04-15,22.2,sunny,0,0
2021-04-16,30.8,sunny,0,0
2021-04-17,27.9,sunny,1,1
2021-04-18,24.4,sunny,1,1
2021-04-19,21.3,sunny,1,0
2021-04-20,26.1,cloudy,0,0
2021-04-21,28.4,sunny,0,0
2021-04-22,25.4,rainy,0,0
2021-04-23,26.1,sunny,0,0
2021-04-24,31.4,cloudy,1,1
2021-04-25,26.2,sunny,1,1
2021-04-26,21.6,sunny,0,0
2021-04-27,26.3,rainy,0,0
2021-04-28,26.1,rainy,0,0
2021-04-29,25.4,cloudy,0,0
2021-04-30,24.2,sunny,0,0
2021-05-01,28.9,sunny,1,1
2021-05-02,23.6,cloudy,1,1
2021-05-03,25.1,sunny,0,0
2021-05-04,25.1,sunny,0,0
2021-05-05,26.6,sunny,0,0
2021-05-06,20.8,rainy,0,0
2021-05-07,25.5,sunny,0,0
2021-05-08,25.0,rainy,1,1
2021-05-09,24.9,rainy,1,1
2021-05-10,22.5,sunny,0,0
2021-05-11,26.3,cloudy,0,0
2021-05-12,22.6,sunny,0,0
2021-05-13,28.5,rainy,0,0
2021-05-14,22.7,rainy,0,0
2021-05-15,27.3,cloudy,1,1
2021-05-16,20.5,rainy,1,1
2021-05-17,22.6,sunny,0,0
2021-05-18,23.3,cloudy,0,0
2021-05-19,15.3,cloudy,0,0
2021-05-20,23.3,cloudy,0,0
2021-05-21,20.1,sunny,0,0
2021-05-22,26.1,cloudy,1,1
2021-05-23,24.1,cloudy,1,1
2021-05-24,23.8,rainy,0,0
2021-05-25,21.9,sunny,0,0
2021-05-26,20.6,sunny,0,0
2021-05-27,23.9,sunny,0,0
2021-05-28,25.2,rainy,0,0
2021-05-29,21.1,sunny,1,1
2021-05-30,20.4,snowy,1,1
2021-05-31,22.8,sunny,0,0
2021-06-01,27.0,sunny,0,0
2021-06-02,24.6,sunny,0,0
2021-06-03,23.6,sunny,0,0
2021-06-04,14.7,sunny,0,0
2021-06-05,20.9,cloudy,1,1
2021-06-06,14.9,snowy,1,1
2021-06-07,19.1,rainy,0,0
2021-06-08,20.8,cloudy,0,0
