order_id,date,store_id,sku_id,recommended_order_qty,executed_order_qty,reason,status
O0000001,2026-01-01,STORE05,SKU006,45,45,low_stock_or_forecast,executed
O0000002,2026-01-03,STORE01,SKU013,43,38,low_stock_or_forecast,executed
O0000003,2026-01-04,STORE01,SKU002,41,31,low_stock_or_forecast,executed
O0000004,2026-01-04,STORE01,SKU003,42,42,low_stock_or_forecast,executed
O0000005,2026-01-04,STORE02,SKU026,41,36,low_stock_or_forecast,executed
O0000006,2026-01-05,STORE01,SKU040,42,37,low_stock_or_forecast,executed
O0000007,2026-01-05,STORE01,SKU062,42,42,low_stock_or_forecast,executed
O0000008,2026-01-05,STORE05,SKU001,41,36,low_stock_or_forecast,executed
O0000009,2026-01-05,STORE05,SKU018,42,32,low_stock_or_forecast,executed
O0000010,2026-01-06,STORE02,SKU038,41,41,low_stock_or_forecast,executed
O0000011,2026-01-06,STORE03,SKU033,44,44,low_stock_or_forecast,executed
O0000012,2026-01-06,STORE05,SKU076,43,38,low_stock_or_forecast,executed
O0000013,2026-01-07,STORE03,SKU022,41,36,low_stock_or_forecast,executed
O0000014,2026-01-08,STORE01,SKU009,43,43,low_stock_or_forecast,executed
O0000015,2026-01-09,STORE01,SKU026,42,37,low_stock_or_forecast,executed
O0000016,2026-01-09,STORE03,SKU015,41,41,low_stock_or_forecast,executed
O0000017,2026-01-09,STORE05,SKU004,41,41,low_stock_or_forecast,executed
O0000018,2026-01-11,STORE01,SKU020,42,42,low_stock_or_forecast,executed
O0000019,2026-01-11,STORE03,SKU017,41,36,low_stock_or_forecast,executed
O0000020,2026-01-11,STORE05,SKU022,44,34,low_stock_or_forecast,executed
O0000021,2026-01-13,STORE05,SKU033,42,37,low_stock_or_forecast,executed
O0000022,2026-01-13,STORE05,SKU037,41,36,low_stock_or_forecast,executed
O0000023,2026-01-14,STORE05,SKU001,41,36,low_stock_or_forecast,executed
O0000024,2026-01-16,STORE01,SKU039,41,31,low_stock_or_forecast,executed
O0000025,2026-01-16,STORE05,SKU022,43,38,low_stock_or_forecast,executed
O0000026,2026-01-17,STORE01,SKU016,46,46,low_stock_or_forecast,executed
O0000027,2026-01-17,STORE01,SKU033,43,38,low_stock_or_forecast,executed
O0000028,2026-01-17,STORE01,SKU057,41,41,low_stock_or_forecast,executed
O0000029,2026-01-17,STORE02,SKU021,42,42,low_stock_or_forecast,executed
O0000030,2026-01-17,STORE04,SKU036,43,38,low_stock_or_forecast,executed
O0000031,2026-01-18,STORE01,SKU024,43,43,low_stock_or_forecast,executed
O0000032,2026-01-18,STORE02,SKU035,42,32,low_stock_or_forecast,executed
O0000033,2026-01-18,STORE03,SKU036,41,36,low_stock_or_forecast,executed
O0000034,2026-01-19,STORE01,SKU023,41,41,low_stock_or_forecast,executed
O0000035,2026-01-19,STORE05,SKU029,41,41,low_stock_or_forecast,executed
O0000036,2026-01-19,STORE05,SKU031,43,43,low_stock_or_forecast,executed
O0000037,2026-01-20,STORE04,SKU006,41,41,low_stock_or_forecast,executed
O0000038,2026-01-20,STORE05,SKU036,41,41,low_stock_or_forecast,executed
O0000039,2026-01-21,STORE01,SKU033,42,32,low_stock_or_forecast,executed
O0000040,2026-01-21,STORE01,SKU060,44,44,low_stock_or_forecast,executed
O0000041,2026-01-22,STORE01,SKU063,41,41,low_stock_or_forecast,executed
O0000042,2026-01-22,STORE02,SKU026,45,35,low_stock_or_forecast,executed
O0000043,2026-01-22,STORE03,SKU040,41,31,low_stock_or_forecast,executed
O0000044,2026-01-22,STORE05,SKU023,42,37,low_stock_or_forecast,executed
O0000045,2026-01-24,STORE01,SKU002,44,44,low_stock_or_forecast,executed
O0000046,2026-01-24,STORE01,SKU037,52,52,low_stock_or_forecast,executed
O0000047,2026-01-24,STORE01,SKU040,50,50,low_stock_or_forecast,executed
O0000048,2026-01-25,STORE05,SKU014,41,41,low_stock_or_forecast,executed
O0000049,2026-01-25,STORE05,SKU039,42,42,low_stock_or_forecast,executed
O0000050,2026-01-25,STORE05,SKU064,41,31,low_stock_or_forecast,executed
O0000051,2026-01-27,STORE01,SKU036,45,40,low_stock_or_forecast,executed
O0000052,2026-01-27,STORE05,SKU012,41,41,low_stock_or_forecast,executed
O0000053,2026-01-30,STORE05,SKU060,41,41,low_stock_or_forecast,executed
O0000054,2026-01-31,STORE01,SKU019,43,43,low_stock_or_forecast,executed
O0000055,2026-01-31,STORE01,SKU029,41,41,low_stock_or_forecast,executed
O0000056,2026-01-31,STORE02,SKU032,43,38,low_stock_or_forecast,executed
O0000057,2026-01-31,STORE03,SKU017,41,31,low_stock_or_forecast,executed
O0000058,2026-01-31,STORE05,SKU010,43,38,low_stock_or_forecast,executed
O0000059,2026-01-31,STORE05,SKU025,43,43,low_stock_or_forecast,executed
O0000060,2026-01-31,STORE05,SKU031,41,41,low_stock_or_forecast,executed
O0000061,2026-01-31,STORE05,SKU037,41,36,low_stock_or_forecast,executed
O0000062,2026-02-01,STORE01,SKU065,41,31,low_stock_or_forecast,executed
O0000063,2026-02-01,STORE03,SKU031,41,41,low_stock_or_forecast,executed
O0000064,2026-02-01,STORE05,SKU008,42,37,low_stock_or_forecast,executed
O0000065,2026-02-02,STORE02,SKU016,43,43,low_stock_or_forecast,executed
O0000066,2026-02-02,STORE05,SKU013,43,38,low_stock_or_forecast,executed
O0000067,2026-02-03,STORE03,SKU033,42,42,low_stock_or_forecast,executed
O0000068,2026-02-03,STORE05,SKU014,42,42,low_stock_or_forecast,executed
O0000069,2026-02-03,STORE05,SKU039,44,44,low_stock_or_forecast,executed
O0000070,2026-02-03,STORE05,SKU040,43,43,low_stock_or_forecast,executed
O0000071,2026-02-06,STORE03,SKU032,43,43,low_stock_or_forecast,executed
O0000072,2026-02-07,STORE01,SKU028,41,41,low_stock_or_forecast,executed
O0000073,2026-02-08,STORE01,SKU008,42,42,low_stock_or_forecast,executed
O0000074,2026-02-08,STORE01,SKU029,43,43,low_stock_or_forecast,executed
O0000075,2026-02-08,STORE05,SKU062,43,33,low_stock_or_forecast,executed
O0000076,2026-02-08,STORE05,SKU069,44,44,low_stock_or_forecast,executed
