date,store_id,sku_id,promo_type,discount_rate
2026-01-01,STORE01,SKU015,discount,0.1
2026-01-01,STORE01,SKU038,discount,0.15
2026-01-01,STORE01,SKU056,discount,0.15
2026-01-01,STORE01,SKU062,discount,0.2
2026-01-01,STORE02,SKU002,1+1,0.5
2026-01-01,STORE02,SKU015,1+1,0.5
2026-01-01,STORE02,SKU038,1+1,0.5
2026-01-01,STORE02,SKU065,2+1,0.33
2026-01-01,STORE02,SKU076,discount,0.15
2026-01-01,STORE03,SKU021,discount,0.1
2026-01-01,STORE03,SKU024,discount,0.2
2026-01-01,STORE03,SKU025,discount,0.15
2026-01-01,STORE03,SKU029,discount,0.2
2026-01-01,STORE03,SKU033,1+1,0.5
2026-01-01,STORE03,SKU039,2+1,0.33
2026-01-01,STORE04,SKU011,2+1,0.33
2026-01-01,STORE04,SKU017,2+1,0.33
2026-01-01,STORE04,SKU028,discount,0.1
2026-01-01,STORE04,SKU099,discount,0.2
2026-01-01,STORE05,SKU004,2+1,0.33
2026-01-01,STORE05,SKU006,discount,0.1
2026-01-01,STORE05,SKU076,1+1,0.5
2026-01-01,STORE05,SKU077,discount,0.1
2026-01-01,STORE05,SKU079,1+1,0.5
2026-01-01,STORE05,SKU094,discount,0.1
2026-01-02,STORE01,SKU001,discount,0.1
2026-01-02,STORE01,SKU008,discount,0.15
2026-01-02,STORE01,SKU014,2+1,0.33
2026-01-02,STORE01,SKU066,2+1,0.33
2026-01-02,STORE01,SKU076,2+1,0.33
2026-01-02,STORE01,SKU079,discount,0.3
2026-01-02,STORE01,SKU080,2+1,0.33
2026-01-02,STORE01,SKU082,discount,0.3
2026-01-02,STORE02,SKU009,1+1,0.5
2026-01-02,STORE02,SKU061,2+1,0.33
2026-01-02,STORE02,SKU064,1+1,0.5
2026-01-02,STORE03,SKU017,discount,0.1
2026-01-02,STORE03,SKU019,2+1,0.33
2026-01-02,STORE03,SKU031,discount,0.2
2026-01-02,STORE03,SKU061,discount,0.15
2026-01-02,STORE03,SKU068,1+1,0.5
2026-01-02,STORE04,SKU002,2+1,0.33
2026-01-02,STORE04,SKU003,discount,0.15
2026-01-02,STORE04,SKU020,discount,0.15
2026-01-02,STORE04,SKU022,2+1,0.33
2026-01-02,STORE04,SKU023,discount,0.2
2026-01-02,STORE04,SKU027,2+1,0.33
2026-01-02,STORE04,SKU100,discount,0.15
2026-01-02,STORE05,SKU025,1+1,0.5
2026-01-02,STORE05,SKU029,1+1,0.5
2026-01-02,STORE05,SKU033,1+1,0.5
2026-01-02,STORE05,SKU047,1+1,0.5
2026-01-02,STORE05,SKU052,discount,0.2
2026-01-02,STORE05,SKU085,2+1,0.33
2026-01-03,STORE01,SKU019,1+1,0.5
2026-01-03,STORE01,SKU021,2+1,0.33
2026-01-03,STORE01,SKU060,discount,0.15
2026-01-03,STORE01,SKU073,2+1,0.33
2026-01-03,STORE01,SKU083,1+1,0.5
2026-01-03,STORE02,SKU008,2+1,0.33
2026-01-03,STORE02,SKU023,2+1,0.33
2026-01-03,STORE02,SKU039,discount,0.1
2026-01-03,STORE02,SKU058,discount,0.2
2026-01-03,STORE02,SKU063,1+1,0.5
2026-01-03,STORE03,SKU001,2+1,0.33
2026-01-03,STORE03,SKU021,discount,0.2
2026-01-03,STORE03,SKU023,2+1,0.33
2026-01-03,STORE03,SKU025,2+1,0.33
2026-01-03,STORE04,SKU009,2+1,0.33
2026-01-03,STORE04,SKU016,discount,0.2
2026-01-03,STORE04,SKU035,discount,0.2
2026-01-03,STORE04,SKU051,1+1,0.5
2026-01-03,STORE04,SKU100,1+1,0.5
2026-01-03,STORE05,SKU011,discount,0.1
2026-01-03,STORE05,SKU015,discount,0.15
2026-01-03,STORE05,SKU017,2+1,0.33
2026-01-03,STORE05,SKU018,discount,0.1
2026-01-03,STORE05,SKU048,discount,0.2
2026-01-03,STORE05,SKU050,2+1,0.33
2026-01-03,STORE05,SKU066,1+1,0.5
2026-01-03,STORE05,SKU073,discount,0.15
2026-01-03,STORE05,SKU074,1+1,0.5
2026-01-03,STORE05,SKU088,2+1,0.33
2026-01-03,STORE05,SKU090,2+1,0.33
2026-01-03,STORE05,SKU091,discount,0.2
2026-01-03,STORE05,SKU092,1+1,0.5
2026-01-04,STORE01,SKU006,1+1,0.5
2026-01-04,STORE01,SKU012,discount,0.15
2026-01-04,STORE01,SKU035,discount,0.15
2026-01-04,STORE01,SKU042,1+1,0.5
2026-01-04,STORE01,SKU049,2+1,0.33
2026-01-04,STORE01,SKU062,2+1,0.33
2026-01-04,STORE01,SKU078,1+1,0.5
2026-01-04,STORE01,SKU081,2+1,0.33
2026-01-04,STORE01,SKU082,discount,0.1
2026-01-04,STORE02,SKU007,2+1,0.33
2026-01-04,STORE02,SKU019,1+1,0.5
2026-01-04,STORE02,SKU032,1+1,0.5
2026-01-04,STORE02,SKU057,1+1,0.5
2026-01-04,STORE02,SKU065,discount,0.3
2026-01-04,STORE02,SKU094,2+1,0.33
2026-01-04,STORE03,SKU012,discount,0.3
2026-01-04,STORE03,SKU088,discount,0.2
2026-01-04,STORE04,SKU005,discount,0.3
2026-01-04,STORE04,SKU029,2+1,0.33
2026-01-04,STORE04,SKU030,2+1,0.33
2026-01-04,STORE04,SKU033,1+1,0.5
2026-01-04,STORE04,SKU043,1+1,0.5
2026-01-04,STORE04,SKU053,1+1,0.5
2026-01-04,STORE04,SKU072,2+1,0.33
2026-01-04,STORE04,SKU084,1+1,0.5
2026-01-04,STORE05,SKU003,discount,0.1
2026-01-04,STORE05,SKU018,1+1,0.5
2026-01-04,STORE05,SKU027,2+1,0.33
2026-01-04,STORE05,SKU065,discount,0.15
2026-01-05,STORE01,SKU002,discount,0.3
2026-01-05,STORE01,SKU004,2+1,0.33
2026-01-05,STORE01,SKU033,2+1,0.33
2026-01-05,STORE01,SKU047,1+1,0.5
2026-01-05,STORE01,SKU095,2+1,0.33
2026-01-05,STORE01,SKU099,discount,0.1
2026-01-05,STORE02,SKU011,1+1,0.5
2026-01-05,STORE02,SKU015,discount,0.2
2026-01-05,STORE02,SKU027,discount,0.2
2026-01-05,STORE02,SKU028,1+1,0.5
2026-01-05,STORE02,SKU031,discount,0.15
2026-01-05,STORE02,SKU074,discount,0.1
2026-01-05,STORE02,SKU092,discount,0.15
2026-01-05,STORE02,SKU100,1+1,0.5
2026-01-05,STORE03,SKU015,1+1,0.5
2026-01-05,STORE03,SKU022,1+1,0.5
2026-01-05,STORE03,SKU058,1+1,0.5
2026-01-05,STORE03,SKU086,discount,0.15
2026-01-05,STORE03,SKU099,discount,0.2
2026-01-05,STORE04,SKU022,2+1,0.33
2026-01-05,STORE04,SKU060,discount,0.3
2026-01-05,STORE04,SKU066,discount,0.3
2026-01-05,STORE05,SKU010,1+1,0.5
2026-01-05,STORE05,SKU015,discount,0.1
2026-01-05,STORE05,SKU036,discount,0.15
2026-01-05,STORE05,SKU044,2+1,0.33
2026-01-05,STORE05,SKU087,2+1,0.33
2026-01-06,STORE01,SKU031,2+1,0.33
2026-01-06,STORE01,SKU035,1+1,0.5
2026-01-06,STORE01,SKU043,2+1,0.33
2026-01-06,STORE01,SKU045,discount,0.2
2026-01-06,STORE01,SKU049,2+1,0.33
2026-01-06,STORE01,SKU088,1+1,0.5
2026-01-06,STORE02,SKU007,2+1,0.33
2026-01-06,STORE02,SKU010,discount,0.1
2026-01-06,STORE02,SKU015,1+1,0.5
2026-01-06,STORE02,SKU017,discount,0.3
2026-01-06,STORE02,SKU023,2+1,0.33
2026-01-06,STORE02,SKU096,discount,0.2
2026-01-06,STORE03,SKU013,discount,0.1
2026-01-06,STORE03,SKU033,discount,0.1
2026-01-06,STORE03,SKU038,2+1,0.33
2026-01-06,STORE03,SKU079,2+1,0.33
2026-01-06,STORE03,SKU092,2+1,0.33
2026-01-06,STORE04,SKU002,discount,0.3
2026-01-06,STORE04,SKU025,discount,0.15
2026-01-06,STORE04,SKU044,1+1,0.5
2026-01-06,STORE05,SKU003,2+1,0.33
2026-01-06,STORE05,SKU024,discount,0.2
2026-01-06,STORE05,SKU033,2+1,0.33
2026-01-06,STORE05,SKU038,2+1,0.33
2026-01-06,STORE05,SKU044,discount,0.1
2026-01-06,STORE05,SKU068,1+1,0.5
2026-01-06,STORE05,SKU071,1+1,0.5
2026-01-06,STORE05,SKU076,1+1,0.5
2026-01-06,STORE05,SKU085,2+1,0.33
2026-01-06,STORE05,SKU088,2+1,0.33
2026-01-06,STORE05,SKU100,2+1,0.33
2026-01-07,STORE01,SKU013,discount,0.15
2026-01-07,STORE01,SKU020,2+1,0.33
2026-01-07,STORE01,SKU052,discount,0.1
2026-01-07,STORE01,SKU059,1+1,0.5
2026-01-07,STORE01,SKU064,1+1,0.5
2026-01-07,STORE01,SKU100,discount,0.1
2026-01-07,STORE02,SKU021,discount,0.1
2026-01-07,STORE02,SKU032,2+1,0.33
2026-01-07,STORE02,SKU048,2+1,0.33
2026-01-07,STORE02,SKU056,discount,0.1
2026-01-07,STORE02,SKU061,discount,0.3
2026-01-07,STORE02,SKU063,2+1,0.33
2026-01-07,STORE02,SKU067,discount,0.1
2026-01-07,STORE02,SKU070,1+1,0.5
2026-01-07,STORE02,SKU081,2+1,0.33
2026-01-07,STORE02,SKU095,2+1,0.33
2026-01-07,STORE03,SKU019,1+1,0.5
2026-01-07,STORE03,SKU035,1+1,0.5
2026-01-07,STORE03,SKU039,discount,0.15
2026-01-07,STORE03,SKU049,2+1,0.33
2026-01-07,STORE03,SKU073,1+1,0.5
2026-01-07,STORE04,SKU007,2+1,0.33
2026-01-07,STORE04,SKU015,1+1,0.5
2026-01-07,STORE04,SKU026,2+1,0.33
2026-01-07,STORE04,SKU033,discount,0.1
2026-01-07,STORE04,SKU040,2+1,0.33
2026-01-07,STORE04,SKU055,discount,0.1
2026-01-07,STORE04,SKU093,discount,0.1
2026-01-07,STORE04,SKU097,1+1,0.5
2026-01-07,STORE05,SKU026,discount,0.15
2026-01-07,STORE05,SKU031,2+1,0.33
2026-01-07,STORE05,SKU034,2+1,0.33
2026-01-07,STORE05,SKU088,2+1,0.33
2026-01-07,STORE05,SKU100,2+1,0.33
2026-01-08,STORE01,SKU002,discount,0.2
2026-01-08,STORE01,SKU013,discount,0.2
2026-01-08,STORE01,SKU020,2+1,0.33
2026-01-08,STORE01,SKU023,2+1,0.33
2026-01-08,STORE01,SKU061,discount,0.3
2026-01-08,STORE01,SKU066,discount,0.1
2026-01-08,STORE01,SKU087,1+1,0.5
2026-01-08,STORE01,SKU089,2+1,0.33
2026-01-08,STORE01,SKU100,1+1,0.5
2026-01-08,STORE02,SKU068,2+1,0.33
2026-01-08,STORE03,SKU012,discount,0.3
2026-01-08,STORE03,SKU016,2+1,0.33
2026-01-08,STORE03,SKU032,2+1,0.33
2026-01-08,STORE03,SKU086,1+1,0.5
2026-01-08,STORE04,SKU011,1+1,0.5
