date,store_id,weather,temperature,rain_mm,is_holiday
2026-01-01,STORE01,cloudy,2.5,0,1
2026-01-01,STORE02,rain,-0.9,6.8,1
2026-01-01,STORE03,sunny,0.4,0,1
2026-01-01,STORE04,sunny,0.4,0,1
2026-01-01,STORE05,sunny,-1.9,0,1
2026-01-02,STORE01,cloudy,-1.9,0,0
2026-01-02,STORE02,sunny,-0.4,0,0
2026-01-02,STORE03,sunny,-7.1,0,0
2026-01-02,STORE04,cloudy,6.1,0,0
2026-01-02,STORE05,sunny,4.0,0,0
2026-01-03,STORE01,snow,8.6,0,1
2026-01-03,STORE02,cloudy,-2.8,0,1
2026-01-03,STORE03,cloudy,-0.3,0,1
2026-01-03,STORE04,cloudy,-5.4,0,1
2026-01-03,STORE05,cloudy,-0.3,0,1
2026-01-04,STORE01,rain,-1.2,3.4,1
2026-01-04,STORE02,sunny,-0.2,0,1
2026-01-04,STORE03,sunny,-5.1,0,1
2026-01-04,STORE04,sunny,-6.4,0,1
2026-01-04,STORE05,sunny,-8.1,0,1
2026-01-05,STORE01,sunny,2.6,0,0
2026-01-05,STORE02,sunny,-2.1,0,0
2026-01-05,STORE03,sunny,2.2,0,0
2026-01-05,STORE04,rain,0.0,16.8,0
2026-01-05,STORE05,cloudy,-2.3,0,0
2026-01-06,STORE01,sunny,-4.9,0,0
2026-01-06,STORE02,cloudy,-0.8,0,0
2026-01-06,STORE03,sunny,1.4,0,0
2026-01-06,STORE04,sunny,1.5,0,0
2026-01-06,STORE05,rain,-1.1,15.2,0
2026-01-07,STORE01,sunny,-2.9,0,0
2026-01-07,STORE02,sunny,-3.2,0,0
2026-01-07,STORE03,cloudy,1.4,0,0
2026-01-07,STORE04,sunny,2.5,0,0
2026-01-07,STORE05,rain,2.9,1.3,0
2026-01-08,STORE01,sunny,-2.0,0,0
2026-01-08,STORE02,sunny,-1.5,0,0
2026-01-08,STORE03,sunny,3.4,0,0
2026-01-08,STORE04,sunny,-1.5,0,0
2026-01-08,STORE05,sunny,-4.3,0,0
2026-01-09,STORE01,cloudy,-3.8,0,0
2026-01-09,STORE02,rain,4.3,17.5,0
2026-01-09,STORE03,cloudy,-6.8,0,0
2026-01-09,STORE04,rain,-1.4,16.6,0
2026-01-09,STORE05,cloudy,-5.6,0,0
2026-01-10,STORE01,rain,0.6,16.5,1
2026-01-10,STORE02,cloudy,-5.0,0,1
2026-01-10,STORE03,cloudy,1.7,0,1
2026-01-10,STORE04,cloudy,0.0,0,1
2026-01-10,STORE05,cloudy,-3.9,0,1
2026-01-11,STORE01,cloudy,-0.9,0,1
2026-01-11,STORE02,cloudy,0.3,0,1
2026-01-11,STORE03,rain,1.4,4.9,1
2026-01-11,STORE04,snow,-2.7,0,1
2026-01-11,STORE05,sunny,-5.5,0,1
2026-01-12,STORE01,sunny,4.1,0,0
2026-01-12,STORE02,sunny,-2.1,0,0
2026-01-12,STORE03,rain,-3.0,15.5,0
2026-01-12,STORE04,sunny,-2.3,0,0
2026-01-12,STORE05,rain,-4.9,6.3,0
2026-01-13,STORE01,sunny,-6.0,0,0
2026-01-13,STORE02,sunny,2.8,0,0
2026-01-13,STORE03,sunny,-1.1,0,0
2026-01-13,STORE04,cloudy,-3.5,0,0
2026-01-13,STORE05,sunny,-2.2,0,0
2026-01-14,STORE01,sunny,3.1,0,0
2026-01-14,STORE02,rain,-2.4,2.6,0
2026-01-14,STORE03,cloudy,1.1,0,0
2026-01-14,STORE04,cloudy,2.6,0,0
2026-01-14,STORE05,cloudy,7.7,0,0
2026-01-15,STORE01,sunny,-0.8,0,0
2026-01-15,STORE02,cloudy,-1.7,0,0
2026-01-15,STORE03,sunny,-7.7,0,0
2026-01-15,STORE04,cloudy,-0.6,0,0
2026-01-15,STORE05,rain,-6.5,8.4,0
2026-01-16,STORE01,cloudy,-2.8,0,0
2026-01-16,STORE02,sunny,3.8,0,0
2026-01-16,STORE03,rain,-2.4,13.7,0
2026-01-16,STORE04,sunny,-8.9,0,0
2026-01-16,STORE05,snow,5.7,0,0
2026-01-17,STORE01,cloudy,-8.1,0,1
2026-01-17,STORE02,sunny,-6.0,0,1
2026-01-17,STORE03,rain,-7.2,0.4,1
2026-01-17,STORE04,cloudy,-1.4,0,1
2026-01-17,STORE05,rain,2.1,3.0,1
2026-01-18,STORE01,cloudy,-3.8,0,1
2026-01-18,STORE02,cloudy,-0.2,0,1
2026-01-18,STORE03,cloudy,-2.6,0,1
2026-01-18,STORE04,rain,-4.2,7.0,1
2026-01-18,STORE05,sunny,1.0,0,1
2026-01-19,STORE01,sunny,2.1,0,0
2026-01-19,STORE02,cloudy,1.3,0,0
2026-01-19,STORE03,cloudy,-2.2,0,0
2026-01-19,STORE04,sunny,1.1,0,0
2026-01-19,STORE05,sunny,-1.0,0,0
2026-01-20,STORE01,sunny,-1.0,0,0
2026-01-20,STORE02,cloudy,3.7,0,0
2026-01-20,STORE03,cloudy,5.4,0,0
2026-01-20,STORE04,rain,-4.8,12.1,0
2026-01-20,STORE05,rain,-4.6,0.3,0
2026-01-21,STORE01,sunny,-0.4,0,0
2026-01-21,STORE02,sunny,-6.8,0,0
2026-01-21,STORE03,sunny,-3.2,0,0
2026-01-21,STORE04,sunny,5.4,0,0
2026-01-21,STORE05,cloudy,5.7,0,0
2026-01-22,STORE01,cloudy,2.0,0,0
2026-01-22,STORE02,rain,3.3,14.5,0
2026-01-22,STORE03,sunny,-1.3,0,0
2026-01-22,STORE04,rain,0.2,4.2,0
2026-01-22,STORE05,cloudy,0.4,0,0
2026-01-23,STORE01,cloudy,-0.6,0,0
2026-01-23,STORE02,sunny,4.0,0,0
2026-01-23,STORE03,sunny,-1.0,0,0
2026-01-23,STORE04,sunny,-7.5,0,0
2026-01-23,STORE05,sunny,1.8,0,0
2026-01-24,STORE01,sunny,-1.4,0,1
2026-01-24,STORE02,sunny,-1.8,0,1
2026-01-24,STORE03,cloudy,2.0,0,1
2026-01-24,STORE04,sunny,1.5,0,1
